year,id,undergrad_men,undergrad_women,undergrad,graduate_men,graduate_women,graduate,total_men,total_women,total,cat,school
2011,ie,0,1,1,0,0,0,0,1,1,engr,school_engr
2011,ms&e,104,42,146,299,132,431,403,174,577,inter,school_engr
2011,matsci,30,12,42,124,51,175,154,63,217,engr,school_engr
2011,me,72,28,100,421,118,539,493,146,639,engr,school_engr
2011,sccm,0,0,0,2,0,2,2,0,2,math,school_engr
2011,school_hs,1092,1398,2490,1271,937,2208,2363,2335,4698,dept,dept
2011,aaas,3,6,9,0,0,0,3,6,9,hum,school_hs
2011,africast,0,0,0,2,4,6,2,4,6,hum,school_hs
2011,amstud,10,22,32,0,0,0,10,22,32,hum,school_hs
2011,anthsci,0,0,0,1,3,4,1,3,4,socsci,school_hs
2011,anthro,3,33,36,15,38,53,18,71,89,socsci,school_hs
2011,archlgy,2,6,8,0,0,0,2,6,8,socsci,school_hs
2011,appphys,0,0,0,108,34,142,108,34,142,physci,school_hs
2011,art,0,0,0,3,6,9,3,6,9,hum,school_hs
2011,arthist,3,11,14,10,13,23,13,24,37,hum,school_hs
2011,artstudi,4,18,22,6,4,10,10,22,32,hum,school_hs
2011,asnamst,1,3,4,0,0,0,1,3,4,hum,school_hs
2011,bio,86,110,196,84,77,161,170,187,357,physci,school_hs
2011,biophys,0,0,0,18,13,31,18,13,31,physci,school_hs
2011,chem,39,19,58,139,77,216,178,96,274,physci,school_hs
2011,chs,0,1,1,0,0,0,0,1,1,hum,school_hs
2011,chinese,2,2,4,5,10,15,7,12,19,hum,school_hs
2011,classics,21,18,39,17,17,34,38,35,73,hum,school_hs
2011,classicshum,0,0,0,1,0,1,1,0,1,hum,school_hs
2011,comm,16,34,50,27,33,60,43,67,110,hum,school_hs
2011,complit,6,8,14,5,15,20,11,23,34,hum,school_hs
2011,csre,10,29,39,0,0,0,10,29,39,hum,school_hs
2011,csanthro,0,0,0,6,8,14,6,8,14,hum,school_hs
2011,design,0,0,0,3,1,4,3,1,4,hum,school_hs
2011,docfilm,0,0,0,6,10,16,6,10,16,hum,school_hs
2011,drama,8,11,19,6,13,19,14,24,38,hum,school_hs
2011,dramahum,0,0,0,2,2,4,2,2,4,hum,school_hs
2011,eastasn,2,7,9,21,23,44,23,30,53,hum,school_hs
2011,econ,115,58,173,98,41,139,213,99,312,socsci,school_hs
2011,english,40,84,124,32,35,67,72,119,191,hum,school_hs
2011,engfrenlit,0,2,2,0,0,0,0,2,2,hum,school_hs
2011,femst,2,2,4,0,0,0,2,2,4,hum,school_hs
2011,filmstud,9,15,24,0,0,0,9,15,24,hum,school_hs
2011,finmath,0,0,0,23,10,33,23,10,33,math,school_hs
2011,french,1,15,16,5,9,14,6,24,30,hum,school_hs
2011,frenchital,0,0,0,1,0,1,1,0,1,hum,school_hs
2011,italian,2,4,6,0,8,8,2,12,14,hum,school_hs
2011,german,5,1,6,4,11,15,9,12,21,hum,school_hs
2011,history,55,73,128,57,42,99,112,115,227,hum,school_hs
2011,histhum,0,0,0,3,1,4,3,1,4,hum,school_hs
2011,humbio,74,269,343,0,0,0,74,269,343,inter,school_hs
2011,ilac,3,7,10,11,14,25,14,21,35,hum,school_hs
2011,ilachum,0,0,0,1,0,1,1,0,1,hum,school_hs
2011,idm,2,0,2,0,0,0,2,0,2,inter,school_hs
2011,ips,0,0,0,16,31,47,16,31,47,inter,school_hs
2011,ir,57,98,155,0,0,0,57,98,155,socsci,school_hs
2011,japanese,7,1,8,7,8,15,14,9,23,hum,school_hs
2011,latinam,0,0,0,5,7,12,5,7,12,hum,school_hs
2011,linguist,5,13,18,18,19,37,23,32,55,socsci,school_hs
2011,mcs,38,18,56,0,0,0,38,18,56,math,school_hs
2011,math,79,19,98,62,13,75,141,32,173,math,school_hs
2011,mtl,0,0,0,13,13,26,13,13,26,hum,school_hs
2011,mtlhum,0,0,0,1,0,1,1,0,1,hum,school_hs
2011,music,25,14,39,40,26,66,65,40,105,hum,school_hs
2011,nativeam,2,1,3,0,0,0,2,1,3,hum,school_hs
2011,phil,15,14,29,40,16,56,55,30,85,hum,school_hs
2011,philrelig,1,0,1,0,0,0,1,0,1,hum,school_hs
2011,physics,41,12,53,137,31,168,178,43,221,physci,school_hs
2011,polisci,60,49,109,38,36,74,98,85,183,socsci,school_hs
2011,psych,44,124,168,31,49,80,75,173,248,socsci,school_hs
2011,publpol,30,31,61,13,7,20,43,38,81,socsci,school_hs
2011,religst,0,6,6,14,14,28,14,20,34,hum,school_hs
2011,rees,0,0,0,1,3,4,1,3,4,hum,school_hs
2011,sts,74,56,130,0,0,0,74,56,130,inter,school_hs
2011,slavic,0,2,2,5,3,8,5,5,10,hum,school_hs
2011,soc,19,24,43,21,56,77,40,80,120,socsci,school_hs
2011,stats,0,0,0,78,30,108,78,30,108,math,school_hs
2011,symsys,60,22,82,11,3,14,71,25,96,inter,school_hs
2011,urbanst,11,26,37,0,0,0,11,26,37,socsci,school_hs
2011,school_law,0,0,0,364,280,644,364,280,644,dept,dept
2011,law,0,0,0,350,277,627,350,277,627,prof,school_law
2011,lawbiz,0,0,0,14,3,17,14,3,17,prof,school_law
2011,school_med,0,0,0,471,463,934,471,463,934,dept,dept
2011,bioc,0,0,0,26,16,42,26,16,42,prof,school_med
2011,biomedin,0,0,0,34,13,47,34,13,47,prof,school_med
2011,cbio,0,0,0,21,39,60,21,39,60,prof,school_med
2011,csb,0,0,0,26,14,40,26,14,40,prof,school_med
2011,dbio,0,0,0,12,12,24,12,12,24,prof,school_med
2011,epidem,0,0,0,6,12,18,6,12,18,prof,school_med
2011,gene,0,0,0,27,32,59,27,32,59,prof,school_med
2011,hrp,0,0,0,8,7,15,8,7,15,prof,school_med
2011,humgene,0,0,0,2,12,14,2,12,14,prof,school_med
2011,immunol,0,0,0,24,25,49,24,25,49,prof,school_med
2011,med,0,0,0,234,206,440,234,206,440,prof,school_med
2011,mi,0,0,0,10,30,40,10,30,40,prof,school_med
2011,nepr,0,0,0,30,37,67,30,37,67,prof,school_med
2011,mcp,0,0,0,4,6,10,4,6,10,prof,school_med
2011,sbio,0,0,0,7,2,9,7,2,9,prof,school_med
2010,undeclared,1855,1695,3550,0,0,0,1855,1695,3550,aggr,misc
2010,total,3688,3459,7147,5676,3301,8977,9364,6760,16124,aggr,total
2010,school_biz,0,0,0,615,325,940,615,325,940,dept,dept
2010,business,0,0,0,568,316,884,568,316,884,prof,school_biz
2010,management,0,0,0,47,9,56,47,9,56,prof,school_biz
2010,school_es,61,77,138,217,136,353,278,213,491,dept,dept
2010,eees,0,0,0,2,3,5,2,3,5,physci,school_es
2010,earthsys,48,70,118,15,17,32,63,87,150,inter,school_es
2010,ere,7,2,9,39,13,52,46,15,61,engr,school_es
2010,eess,0,0,0,13,14,27,13,14,27,physci,school_es
2010,envres,0,0,0,46,31,77,46,31,77,inter,school_es
2010,ges,6,5,11,30,31,61,36,36,72,physci,school_es
2010,geophys,0,0,0,43,20,63,43,20,63,physci,school_es
2010,petrolengr,0,0,0,29,7,36,29,7,36,engr,school_es
2010,school_educ,0,0,0,117,273,390,117,273,390,dept,dept
2010,educ,0,0,0,117,273,390,117,273,390,hum,school_educ
2010,school_engr,645,283,928,2643,841,3484,3288,1124,4412,dept,dept
2010,aa,0,0,0,157,37,194,157,37,194,engr,school_engr
2010,bioe,0,0,0,65,39,104,65,39,104,engr,school_engr
2010,chemeng,26,23,49,75,50,125,101,73,174,engr,school_engr
2010,cee,0,0,0,260,161,421,260,161,421,engr,school_engr
2010,ce,19,13,32,0,0,0,19,13,32,engr,school_engr
2010,cme,0,0,0,101,17,118,101,17,118,engr,school_engr
2010,cs,200,47,247,398,68,466,598,115,713,engr,school_engr
2010,ee,72,20,92,719,188,907,791,208,999,engr,school_engr
2010,genengr,125,83,208,15,4,19,140,87,227,engr,school_engr
2010,enve,3,10,13,0,0,0,3,10,13,engr,school_engr
2010,idm_engr,1,2,3,0,0,0,1,2,3,engr,school_engr
2010,ms&e,96,44,140,300,120,420,396,164,560,inter,school_engr
2010,matsci,24,16,40,124,45,169,148,61,209,engr,school_engr
2010,me,79,25,104,427,112,539,506,137,643,engr,school_engr
2010,sccm,0,0,0,2,0,2,2,0,2,math,school_engr
2010,school_hs,1127,1404,2531,1263,957,2220,2390,2361,4751,dept,dept
2010,aaas,1,3,4,0,0,0,1,3,4,hum,school_hs
2010,africast,0,0,0,1,4,5,1,4,5,hum,school_hs
2010,amstud,12,17,29,0,0,0,12,17,29,hum,school_hs
2010,anthsci,1,2,3,4,6,10,5,8,13,socsci,school_hs
2010,anthro,7,35,42,18,29,47,25,64,89,socsci,school_hs
2010,archlgy,4,6,10,0,0,0,4,6,10,socsci,school_hs
2010,appphys,0,0,0,105,34,139,105,34,139,physci,school_hs
2010,art,1,1,2,10,17,27,11,18,29,hum,school_hs
2010,arthist,7,16,23,9,12,21,16,28,44,hum,school_hs
2010,artstudi,8,26,34,2,3,5,10,29,39,hum,school_hs
2010,asnamst,1,3,4,0,0,0,1,3,4,hum,school_hs
2010,bio,97,120,217,82,83,165,179,203,382,physci,school_hs
2010,biophys,0,0,0,15,14,29,15,14,29,physci,school_hs
2010,chem,32,18,50,140,82,222,172,100,272,physci,school_hs
2010,chs,0,1,1,0,0,0,0,1,1,hum,school_hs
2010,chinese,2,1,3,1,12,13,3,13,16,hum,school_hs
2010,classics,23,17,40,15,17,32,38,34,72,hum,school_hs
2010,classicshum,0,0,0,1,0,1,1,0,1,hum,school_hs
2010,comm,18,58,76,27,33,60,45,91,136,hum,school_hs
